Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Fiery Conclusion",4,23032,Common,RAV,122/306,No
"Fiery Temper",4,59934,Common,SOI,156/297,No
"Filigree Crawler",4,62847,Common,AER,150/184,No
"Filigree Familiar",4,61789,Uncommon,KLD,212/264,No
"Fireblast",4,37879,Common,TD0,B15/41,No
"Firebolt",4,60939,Common,EMA,130/249,No
"Fireforger's Puzzleknot",4,61787,Common,KLD,213/264,No
"Firemantle Mage",4,58417,Uncommon,BFZ,145/274,No
"Fireslinger",4,31536,Common,DD2,36/62,No
"Fishliver Oil",4,22929,Common,9ED,77/350,No
"Flame Slash",4,36640,Common,ROE,145/248,No
"Flayer Husk",4,39583,Common,MBS,107/155,No
"Flesh to Dust",4,53764,Common,M15,98/269,No
"Fleshbag Marauder",1,57718,Uncommon,ORI,98/272,No
"Fleshbag Marauder",3,31281,Uncommon,ALA,76/249,No
"Flickering Spirit",4,25429,Common,TSP,17/301,No
"Fling",4,43455,Common,DKA,90/158,No
"Floodbringer",4,21877,Common,BOK,34/165,No
"Flourishing Defenses",4,29831,Uncommon,SHM,114/301,No
"Fog",4,45440,Common,M13,172/249,No
"Fogwalker",4,61328,Common,EMN,60/205,No
"Font of Return",4,52056,Common,JOU,71/165,No
"Force Spike",4,15530,Common,7E,76/350,No
"Forgotten Cave",1,40684,Common,CMD,273/318,No
"Forgotten Cave",3,18267,Common,ONS,317/350,No
"Forgotten Creation",4,60322,Rare,SOI,63/297,No
"Fortuitous Find",4,61945,Common,KLD,81/264,No
"Fortune's Favor",4,61334,Uncommon,EMN,61/205,No
"Foul Emissary",4,61448,Uncommon,EMN,158/205,No
"Foundry Assembler",4,62855,Common,AER,151/184,No
"Foundry Hornet",4,62683,Uncommon,AER,59/184,No
"Foundry Screecher",4,61687,Common,KLD,82/264,No
"Foundry Street Denizen",4,47529,Common,GTC,92/249,No
"Fourth Bridge Prowler",4,62661,Common,AER,60/184,No
"Fragmentize",4,61625,Common,KLD,14/264,No
"Fretwork Colony",4,61949,Uncommon,KLD,83/264,No
"Frogmite",4,57368,Common,MM2,215/249,No
"From Under the Floorboards",4,60092,Rare,SOI,111/297,No
"Frontline Rebel",4,62711,Common,AER,82/184,No
"Frost Lynx",4,53598,Common,M15,55/269,No
"Frost Marsh",4,24665,Uncommon,CSP,146/155,No
"Frostburn Weird",4,46427,Common,RTR,215/274,No
"Fume Spitter",4,38449,Common,SOM,63/249,No
"Fungal Bloom",4,30344,Rare,ME2,165/245,No
"Furious Reprisal",4,61985,Uncommon,KLD,115/264,No
"Furnace Dragon",4,20320,Rare,DST,62/165,Yes
"Furyblade Vampire",4,61410,Uncommon,EMN,128/205,No
"Fyndhorn Elves",4,53106,Common,VMA,210/325,Yes
"Galvanic Arc",4,23258,Common,RAV,126/306,No
"Galvanic Blast",4,38203,Common,SOM,91/249,No
"Galvanic Bombardment",4,61218,Common,EMN,129/205,No
"Garruk's Companion",4,37396,Common,M11,176/249,No
"Gate Hound",4,23278,Common,RAV,19/306,No
"Gather Courage",4,23208,Common,RAV,165/306,No
"Gather the Townsfolk",4,43475,Common,DKA,8/158,No
"Gavony Unhallowed",4,61160,Common,EMN,89/205,No
"Gearseeker Serpent",4,61895,Common,KLD,48/264,No
"Gearshift Ace",4,61603,Uncommon,KLD,16/264,No
"Geier Reach Bandit",4,59902,Rare,SOI,159/297,No
"Geist of the Archives",4,61344,Uncommon,EMN,62/205,No
"Geist of the Lonely Vigil",4,61298,Uncommon,EMN,27/205,No
"Geistblast",4,60174,Uncommon,SOI,160/297,No
"Geist-Fueled Scarecrow",4,61278,Uncommon,EMN,196/205,No
"Gemhide Sliver",4,25855,Common,TSP,196/301,No
"Gemstone Array",4,20708,Uncommon,5DN,124/165,No
"Geth's Verdict",4,39736,Common,NPH,61/175,No
"Ghastly Demise",4,16813,Common,OD,139/350,No
"Ghirapur Guide",4,61761,Uncommon,KLD,156/264,No
"Ghirapur Orrery",4,62043,Rare,KLD,216/264,No
"Ghirapur Osprey",4,62573,Common,AER,20/184,No
"Ghost Warden",4,27737,Common,10E,16/383,No
"Ghostly Flicker",4,44015,Common,AVR,57/244,No
"Ghostly Wings",4,17131,Common,TOR,38/143,No
"Giant Spectacle",4,61971,Common,KLD,116/264,No
"Gift of the Gargantuan",4,31103,Common,ALA,132/249,No
"Gifted Aetherborn",4,62681,Uncommon,AER,61/184,No
"Gisa's Bidding",4,60338,Uncommon,SOI,114/297,No
"Gitaxian Probe",4,39976,Common,NPH,35/175,No
"Give No Ground",4,61304,Uncommon,EMN,29/205,No
"Gladecover Scout",4,41361,Common,M12,178/249,No
"Glare of Heresy",4,50604,Uncommon,THS,15/249,No
"Glassblower's Puzzleknot",4,61793,Common,KLD,217/264,No
"Gleam of Resistance",4,31767,Common,CON,8/145,No
"Gleeful Sabotage",4,29771,Common,SHM,116/301,No
"Glimmer of Genius",4,61921,Uncommon,KLD,49/264,No
"Glint Hawk",4,38167,Common,SOM,10/249,No
"Glint-Sleeve Artisan",4,61605,Common,KLD,17/264,No
"Glistener Elf",4,39968,Common,NPH,111/175,No
"Glorious Charge",4,45338,Common,M13,15/249,No
"Gnarlwood Dryad",4,61256,Uncommon,EMN,159/205,No
"Go for the Throat",4,39447,Uncommon,MBS,43/155,No
"Goblin Bombardment",4,50830,Uncommon,C13,110/356,No
"Goblin Bushwhacker",4,34388,Common,ZEN,125/249,No
"Goblin Cohort",4,21707,Common,BOK,106/165,No
"Goblin Deathraiders",4,31033,Common,ALA,169/249,No
"Goblin Electromancer",4,46363,Common,RTR,163/274,No
"Goblin Fireslinger",4,41497,Common,M12,139/249,No
"Goblin Gaveleer",4,38095,Common,SOM,92/249,No
"Goblin Grenade",4,41531,Uncommon,M12,140/249,No
"Goblin Heelcutter",4,55478,Common,FRF,102/185,No
"Goblin Matron",4,52883,Common,VMA,168/325,No
"Goblin Piledriver",4,57714,Rare,ORI,151/272,No
"Goblin Shortcutter",4,34494,Common,ZEN,128/249,No
"Goblin Sledder",4,18013,Common,ONS,209/350,No
"Godtracker of Jund",4,32422,Common,ARB,55/145,No
"Gold Myr",4,19983,Common,MRD,180/306,No
"Goldmeadow Dodger",4,28391,Common,LRW,16/301,No
"Gonti's Machinations",4,62691,Uncommon,AER,63/184,No
"Graf Harvest",4,61142,Uncommon,EMN,90/205,No
"Graf Rats",4,61168,Common,EMN,91/205,No
"Grand Architect",1,38194,Rare,SOM,33/249,Yes
"Grand Architect",3,38193,Rare,SOM,33/249,No
"Grapeshot",4,25797,Common,TSP,160/301,No
"Grapple with the Past",4,61230,Common,EMN,160/205,No
"Graveblade Marauder",4,57974,Rare,ORI,101/272,No
"Gray Merchant of Asphodel",4,50562,Common,THS,89/249,No
"Grayscaled Gharial",4,23164,Common,RAV,52/306,No
"Grazing Gladehart",4,34572,Common,ZEN,163/249,No
"Great Furnace",4,20021,Common,MRD,282/306,No
"Greenwheel Liberator",4,62799,Rare,AER,108/184,No
"Gremlin Infestation",4,62743,Uncommon,AER,83/184,No
"Grim Harvest",4,24807,Common,CSP,58/155,No
"Grizzled Angler",4,61348,Uncommon,EMN,63/205,No
"Grotesque Mutation",4,60382,Common,SOI,115/297,No
"Groundskeeper",4,60182,Uncommon,SOI,208/297,No
"Groundswell",4,35557,Common,WWK,104/145,No
"Guardian of Pilgrims",4,61090,Common,EMN,30/205,No
"Guardian of Vitu-Ghazi",4,23416,Common,RAV,212/306,No
"Guardian's Magemark",4,23915,Common,GPT,8/165,No
"Guardians of Meletis",4,50594,Common,THS,217/249,No
"Guardians' Pledge",4,41495,Common,M12,22/249,No
"Guile",4,31556,Rare,DD2,14/62,No
"Guilty Conscience",4,18898,Common,SCG,17/143,No
"Gurmag Angler",4,55472,Common,FRF,72/185,No
"Gush",4,52835,Uncommon,VMA,72/325,No
"Gut Shot",4,39932,Uncommon,NPH,86/175,No
"Guttersnipe",4,46401,Uncommon,RTR,98/274,No
"Hada Freeblade",4,35763,Uncommon,WWK,7/145,No
"Hamlet Captain",4,61064,Uncommon,EMN,161/205,No
"Hanweir Battlements",4,61228,Rare,EMN,204/205,No
"Hanweir Garrison",4,61220,Rare,EMN,130/205,No
"Hanweir Militia Captain",4,59908,Rare,SOI,21/297,No
"Harmless Offering",4,61406,Rare,EMN,131/205,No
"Harness the Storm",4,59994,Rare,SOI,163/297,No
"Harnessed Lightning",4,61991,Uncommon,KLD,117/264,No
"Harvest Pyre",4,42264,Common,ISD,146/264,No
"Haunted Dead",4,61150,Uncommon,EMN,92/205,No
"Haunted Fengraf",4,43259,Common,DKA,157/158,No
"Hazardous Conditions",4,61769,Uncommon,KLD,182/264,No
"Heart of Light",4,21617,Common,BOK,6/165,No
"Heartlash Cinder",4,29932,Common,EVE,56/180,No
"Heartmender",4,29635,Rare,SHM,228/301,No
"Hedron Crab",4,34460,Uncommon,ZEN,47/249,No
"Hedron Rover",4,35615,Common,WWK,125/145,No
"Heir of Falkenrath",4,59960,Uncommon,SOI,116/297,No
"Heliod's Pilgrim",4,53688,Common,M15,14/269,No
"Helm of the Gods",4,58116,Rare,ORI,230/272,No
"Herald of the Fair",4,61599,Common,KLD,18/264,No
"Herald of the Pantheon",4,58050,Rare,ORI,180/272,No
"Hermit Druid",4,56804,Uncommon,TPR,175/269,No
"Hero of Iroas",4,51715,Rare,BNG,17/165,No
"Heroic Intervention",4,62803,Rare,AER,109/184,No
"Heron's Grace Champion",4,61476,Rare,EMN,185/205,No
"Hidden Herbalists",4,62763,Uncommon,AER,110/184,No
"High Tide",4,53217,Uncommon,VMA,73/325,No
"Highland Weald",4,24741,Uncommon,CSP,147/155,No
"Highspire Artisan",4,61577,Common,KLD,157/264,No
"Highspire Infusion",4,62775,Common,AER,111/184,No
"Hightide Hermit",4,61635,Common,KLD,51/264,No
"Hijack",4,61705,Common,KLD,118/264,No
"Hinterland Drake",4,62613,Common,AER,34/184,No
"Hinterland Logger",4,60394,Common,SOI,210/297,No
"Hisoka's Guard",4,21391,Common,CHK,68/306,No
"Hive Stirrings",4,49415,Common,M14,21/249,No
"Holy Light",4,27965,Common,MED,16/195,No
"Holy Strength",4,19467,Common,8ED,24/350,No
"Honor of the Pure",4,32631,Rare,M10,16/249,No
"Hope Against Hope",4,59772,Uncommon,SOI,22/297,No
"Horned Kavu",4,15143,Common,PS,110/143,No
"Hornet Sting",4,37442,Common,M11,181/249,No
"Howlpack Resurgence",4,60206,Uncommon,SOI,211/297,No
"Humble Budoka",4,21219,Common,CHK,214/306,No
"Hunger of the Howlpack",4,43213,Common,DKA,119/158,No
"Hungry Flames",4,62739,Uncommon,AER,84/184,No
"Hushwing Gryff",4,53600,Rare,M15,15/269,No
"Hyena Umbra",4,36756,Common,ROE,26/248,No
"Hymn to Tourach",2,53107,Uncommon,VMA,122/325,No
"Hymn to Tourach",2,50044,Mythic Rare,V13,3/20,Yes
"Icatian Javelineers",4,30348,Common,ME2,15/245,No
"Ice Cage",4,37194,Common,M11,57/249,No
"Ice Over",4,62625,Common,AER,35/184,No
"Ichor Wellspring",4,39339,Common,MBS,110/155,No
"Ichorclaw Myr",4,38049,Common,SOM,166/249,No
"Identity Thief",4,61354,Rare,EMN,64/205,No
"Illusionist's Stratagem",4,62645,Uncommon,AER,36/184,No
"Immolating Souleater",4,39978,Common,NPH,139/175,No
"Impeccable Timing",4,61871,Common,KLD,19/264,No
"Imperious Perfect",4,28373,Uncommon,LRW,220/301,No
"Impetuous Devils",4,61428,Rare,EMN,132/205,No
"Implement of Combustion",4,62871,Common,AER,155/184,No
"Implement of Examination",4,62867,Common,AER,156/184,No
"Implement of Ferocity",4,62873,Common,AER,157/184,No
"Implement of Improvement",4,62865,Common,AER,158/184,No
"Implement of Malice",4,62869,Common,AER,159/184,No
"Imprisoned in the Moon",4,61116,Rare,EMN,65/205,No
"Impulse",4,7589,Common,VI,34/167,No
"Incendiary Sabotage",4,61979,Uncommon,KLD,119/264,No
"Incinerate",4,27056,Common,10E,213/383,No
"Incorrigible Youths",4,59838,Uncommon,SOI,166/297,No
"Index",4,45400,Common,M13,55/249,No
"Indulgent Aristocrat",4,60020,Uncommon,SOI,118/297,No
"Inexorable Blob",4,60134,Rare,SOI,212/297,No
"Inferno Fist",4,53718,Common,M15,150/269,No
"Infest",2,30965,Uncommon,ALA,80/249,No
"Infest",2,17955,Uncommon,ONS,157/350,No
"Ingenious Skaab",4,61340,Common,EMN,66/205,No
"Innocent Blood",4,60691,Common,EMA,94/249,No
"Insatiable Gorgers",4,61404,Uncommon,EMN,134/205,No
"Insatiable Souleater",4,39992,Common,NPH,140/175,No
"Insidious Will",4,61657,Rare,KLD,52/264,No
"Intangible Virtue",4,60725,Uncommon,EMA,15/249,No
"Intimidator Initiate",4,29367,Common,SHM,96/301,No
"Into the Roil",4,34448,Common,ZEN,48/249,No
"Into Thin Air",4,20707,Common,5DN,33/165,Yes
"Inventor's Apprentice",4,61995,Uncommon,KLD,120/264,No
"Invocation of Saint Traft",4,60128,Rare,SOI,246/297,No
"Iroas's Champion",4,58100,Uncommon,ORI,214/272,No
"Iron League Steed",4,62047,Uncommon,KLD,219/264,No
"Iron Myr",4,19989,Common,MRD,187/306,No
"Ironclad Revolutionary",4,62699,Uncommon,AER,65/184,No
"Ironclad Slayer",4,61294,Common,EMN,31/205,No
"Irontread Crusher",4,62857,Common,AER,161/184,No
"Ironwright's Cleansing",4,61296,Common,EMN,32/205,No
"It of the Horrid Swarm",4,61438,Common,EMN,8/205,No
"Ivy Lane Denizen",4,47563,Common,GTC,125/249,No
"Izzet Boilerworks",3,57466,Uncommon,MM2,245/249,No
"Izzet Boilerworks",1,23845,Common,GPT,159/165,No
"Izzet Charm",4,46433,Uncommon,RTR,172/274,No
"Izzet Chronarch",4,23817,Common,GPT,119/165,No
"Izzet Guildgate",4,48376,Common,DGM,151/156,No
"Jace's Phantasm",4,45542,Uncommon,M13,57/249,No
"Jackal Familiar",4,32845,Common,M10,143/249,No
"Jaddi Offshoot",4,58477,Uncommon,BFZ,176/274,No
"Janjeet Sentry",4,61647,Uncommon,KLD,53/264,No
"Jeskai Ascendancy",4,54436,Rare,KTK,180/269,No
"Jeskai Charm",4,54130,Uncommon,KTK,181/269,No
"Jeskai Sage",4,55374,Common,FRF,38/185,No
"Jeskai Student",4,53955,Common,KTK,14/269,Yes
"Jeskai Windscout",4,53975,Common,KTK,44/269,Yes
"Jhessian Lookout",4,31257,Common,ALA,46/249,No
"Jhessian Thief",4,57910,Uncommon,ORI,62/272,No
"Jolrael, Empress of Beasts",4,14115,Rare,PR,115/143,No
"Joraga Warcaller",4,35795,Rare,WWK,106/145,No
"Jori En, Ruin Diver",4,59433,Rare,OGW,155/184,No
"Jotun Owl Keeper",4,24707,Uncommon,CSP,9/155,No
"Journey to Nowhere",4,34390,Common,ZEN,14/249,No
"Jungle Weaver",4,31241,Common,ALA,134/249,No
"Juniper Order Ranger",4,24607,Uncommon,CSP,130/155,No
"Kabira Crossroads",4,34834,Common,ZEN,216/249,No
"Karametra's Favor",4,51657,Common,BNG,125/165,No
"Kazandu Blademaster",4,34364,Uncommon,ZEN,16/249,No
"Keldon Marauders",4,26389,Common,PLC,102/165,No
"Kemba's Skyguard",4,37700,Common,DDF,13/79,No
"Kessig Forgemaster",4,60402,Uncommon,SOI,169/297,No
"Kessig Prowler",4,61446,Uncommon,EMN,163/205,No
"Key to the City",4,62067,Rare,KLD,220/264,No
"Khalni Garden",4,35513,Common,WWK,138/145,No
"Khalni Heart Expedition",4,34556,Common,ZEN,167/249,No
"Kiln Fiend",4,36668,Common,ROE,153/248,No
"Kindly Stranger",4,60390,Uncommon,SOI,119/297,No
"Kiora's Follower",4,51926,Uncommon,PRM,1126/1158,No
"Kitesail Apprentice",4,35789,Common,WWK,10/145,No
"Kor Duelist",1,36212,Uncommon,PRM,290/1158,No
"Kor Duelist",3,34398,Uncommon,ZEN,19/249,No
"Kor Firewalker",4,37923,Uncommon,TD0,B6/41,No
"Kor Sanctifiers",4,34664,Common,ZEN,22/249,No
"Kor Skyfisher",4,34444,Common,ZEN,23/249,No
"Krark-Clan Shaman",4,19717,Common,MRD,98/306,No
"Krenko's Command",4,45518,Common,M13,139/249,No
"Kruphix's Insight",4,52148,Common,JOU,129/165,No
"Kujar Seedsculptor",4,61733,Common,KLD,159/264,No
"Kuldotha Forgemaster",4,38435,Rare,SOM,169/249,No
"Kuldotha Rebirth",4,38043,Common,SOM,96/249,No
"Laboratory Brute",4,61350,Common,EMN,67/205,No
"Laboratory Maniac",4,42560,Rare,ISD,61/264,No
"Lambholt Pacifist",4,60112,Uncommon,SOI,215/297,No
"Lashweed Lurker",4,61468,Uncommon,EMN,9/205,No
"Lathnu Sailback",4,62713,Common,AER,89/184,No
"Lava Axe",4,53280,Common,M15,154/269,No
"Lava Spike",4,21331,Common,CHK,178/306,No
"Lavastep Raider",4,58421,Common,BFZ,147/274,No
"Lawless Broker",4,61663,Common,KLD,86/264,No
"Lead by Example",4,59441,Common,OGW,134/184,No
"Lead the Stampede",4,39343,Uncommon,MBS,82/155,No
"Leaden Myr",4,19987,Common,MRD,191/306,No
"Leafcrown Dryad",4,50346,Common,THS,161/249,No
"Leave in the Dust",4,62631,Common,AER,37/184,No
"Leave No Trace",4,23598,Common,RAV,23/306,No
"Legion Loyalist",4,47787,Rare,GTC,97/249,No
"Lifecraft Awakening",4,62793,Uncommon,AER,112/184,No
"Lifecraft Cavalry",4,62765,Common,AER,113/184,No
"Lifecrafter's Gift",4,62789,Uncommon,AER,114/184,No
"Lifelink",4,32927,Common,M10,18/249,No
"Light from Within",4,30004,Rare,EVE,10/180,No
"Lightning Bolt",4,32859,Common,M10,146/249,No
"Lightning Elemental",4,27406,Common,10E,217/383,No
"Lightning Helix",4,31487,Uncommon,PRM,105/1158,No
"Lightning Strike",4,50572,Common,THS,127/249,No
"Liliana's Elite",4,61148,Uncommon,EMN,94/205,No
"Liliana's Specter",4,37352,Common,M11,104/249,No
"Lingering Souls",4,43359,Uncommon,DKA,12/158,No
"Live Fast",4,61677,Common,KLD,87/264,No
"Living Totem",4,53760,Common,M15,184/269,No
"Llanowar Elves",2,61001,Common,EMA,175/249,No
"Llanowar Elves",1,37568,Common,M11,184/249,No
"Llanowar Elves",1,35934,Common,PRM,70/1158,No
"Loch Korrigan",4,29551,Common,SHM,71/301,No
"Lodestone Myr",4,19763,Rare,MRD,200/306,No
"Logic Knot",4,26616,Common,FUT,52/180,No
"Lone Missionary",4,36358,Common,ROE,34/248,No
"Lone Rider",4,61086,Uncommon,EMN,33/205,No
"Lonely Sandbar",3,53053,Common,VMA,304/325,No
"Lonely Sandbar",1,51214,Common,C13,305/356,No
"Long Road Home",4,61288,Uncommon,EMN,34/205,No
"Looming Shade",4,27408,Common,10E,153/383,No
"Lost Legacy",4,61963,Rare,KLD,88/264,No
"Loxodon Smiter",4,46477,Rare,RTR,178/274,No
"Loxodon Wayfarer",4,38195,Common,SOM,15/249,No
"Luminescent Rain",4,29178,Common,MOR,129/150,No
"Lumithread Field",4,26642,Common,FUT,25/180,No
"Lunar Force",4,61120,Uncommon,EMN,68/205,No
"Lunarch Mantle",4,61284,Common,EMN,35/205,No
"Lys Alana Bowmaster",4,29208,Common,MOR,130/150,No
"Lys Alana Huntmaster",4,28215,Common,LRW,229/301,No
"Macabre Waltz",4,58178,Common,ORI,107/272,No
"Mad Prophet",4,60288,Uncommon,SOI,171/297,No
"Madcap Experiment",4,61965,Rare,KLD,122/264,No
"Mage-Ring Bully",4,57986,Common,ORI,154/272,No
"Magma Spray",3,52042,Common,JOU,103/165,No
"Magma Spray",1,31231,Common,ALA,108/249,No
"Make Mischief",4,61186,Common,EMN,135/205,No
"Mana Geyser",4,20652,Common,5DN,75/165,No
"Mana Leak",4,41289,Common,M12,63/249,No
"Mana Skimmer",4,25387,Common,TSP,117/301,No
"Manamorphose",2,48894,Uncommon,MMA,191/229,No
"Manamorphose",2,29653,Common,SHM,211/301,No
"Maniacal Rage",4,31823,Common,CON,68/145,No
"Manic Scribe",4,59938,Uncommon,SOI,73/297,No
"Mardu Scout",4,55484,Common,FRF,108/185,No
"Marisi's Twinclaws",4,32310,Uncommon,ARB,140/145,No
"Market Festival",4,52060,Common,JOU,130/165,No
"Markov Crusader",4,61370,Uncommon,EMN,95/205,No
"Markov Dreadknight",4,60220,Rare,SOI,122/297,No
"Master Decoy",4,22757,Common,9ED,27/350,No
"Master Trinketeer",4,61875,Rare,KLD,21/264,No
"Matca Rioters",4,31739,Common,CON,84/145,No
"Maul Splicer",4,39952,Common,NPH,114/175,No
"Maulfist Doorbuster",4,61713,Uncommon,KLD,123/264,No
"Maulfist Revolutionary",4,62815,Uncommon,AER,115/184,No
"Maulfist Squad",4,61679,Common,KLD,91/264,No
"Memnite",4,37979,Uncommon,SOM,174/249,No
"Mentor of the Meek",3,54971,Rare,C14,79/337,No
"Mentor of the Meek",1,42694,Rare,ISD,21/264,No
"Merchant's Dockhand",4,62875,Rare,AER,163/184,No
"Merciless Executioner",4,55490,Uncommon,FRF,76/185,No
"Mercurial Geists",4,61470,Uncommon,EMN,186/205,No
"Merfolk Sovereign",4,37238,Rare,M11,65/249,No
"Merrow Reejerey",2,28394,Uncommon,LRW,74/301,Yes
"Merrow Reejerey",2,28393,Uncommon,LRW,74/301,No
"Metallic Rebuke",4,62629,Common,AER,39/184,No
"Metalspinner's Puzzleknot",4,61785,Common,KLD,221/264,No
"Midnight Entourage",4,62703,Rare,AER,66/184,No
"Midnight Guard",4,53406,Common,M15,20/269,No
"Midnight Oil",4,61947,Rare,KLD,92/264,No
"Midnight Scavengers",4,61166,Common,EMN,96/205,No
"Might of Old Krosa",4,25549,Uncommon,TSP,204/301,No
"Mighty Leap",4,41335,Common,M12,26/249,No
"Mind Funeral",4,48834,Uncommon,MMA,181/229,No
"Mind Grind",4,47671,Rare,GTC,178/249,No
"Mind Rot",4,61689,Common,KLD,93/264,No
"Mind Sculpt",4,53422,Common,M15,70/269,No
"Miscalculation",4,12607,Common,UL,36/143,No
"Mistcutter Hydra",4,50386,Rare,THS,162/249,No
"Mitotic Slime",4,37410,Rare,M11,185/249,No
"Mnemonic Wall",1,50568,Common,THS,55/249,No
"Mnemonic Wall",3,36452,Common,ROE,78/248,No
"Mobile Garrison",4,62859,Common,AER,165/184,No
"Mockery of Nature",4,61232,Uncommon,EMN,10/205,No
"Mogg Conscripts",4,9561,Common,TE,189/350,No
"Mogg Fanatic",3,60559,Common,EMA,138/249,No
"Mogg Fanatic",1,39229,Uncommon,PD2,3/34,Yes
"Mogg Raider",4,9575,Common,TE,191/350,No
"Mogg War Marshal",1,49058,Common,MMA,122/229,No
"Mogg War Marshal",3,25757,Common,TSP,170/301,No
"Moldgraf Scavenger",4,60044,Common,SOI,218/297,No
"Molten Rain",4,19723,Common,MRD,101/306,No
"Momentary Blink",4,25533,Common,TSP,29/301,No
"Monastery Swiftspear",4,54108,Uncommon,KTK,118/269,No
"Monstrous Carabid",4,32428,Common,ARB,43/145,No
"Monstrous Onslaught",4,62791,Uncommon,AER,116/184,No
"Moonlight Hunt",4,60038,Uncommon,SOI,219/297,No
"Morbid Curiosity",4,61673,Uncommon,KLD,94/264,No
"Mortuary Mire",4,58513,Common,BFZ,240/274,No
"Mosstodon",4,31001,Common,ALA,139/249,No
"Mournwillow",4,61472,Uncommon,EMN,187/205,No
"Mulldrifter",4,28245,Common,LRW,76/301,No
"Multiform Wonder",4,61823,Rare,KLD,223/264,No
"Murder",4,61388,Uncommon,EMN,97/205,No
"Murderous Compulsion",4,60204,Common,SOI,126/297,No
"Murderous Cut",4,54104,Uncommon,KTK,81/269,No
"Murderous Redcap",4,36192,Uncommon,PRM,380/1158,No
"Muscle Sliver",4,9527,Common,TE,238/350,No
"Mutagenic Growth",4,40000,Common,NPH,116/175,No
"Mycoloth",4,31333,Rare,ALA,140/249,No
"Myr Enforcer",4,57370,Common,MM2,224/249,No
"Myr Galvanizer",4,38455,Uncommon,SOM,181/249,No
"Myr Propagator",4,38411,Rare,SOM,182/249,No
"Myr Retriever",4,19813,Uncommon,MRD,215/306,No
"Myr Sire",4,39333,Common,MBS,116/155,No
"Myr Turbine",4,39369,Rare,MBS,117/155,No
"Mystic Restraints",4,21393,Common,CHK,76/306,No
"Mystical Teachings",4,25589,Common,TSP,69/301,No
"Nacatl Savage",4,31829,Common,CON,86/145,No
"Nagging Thoughts",4,59952,Common,SOI,74/297,No
"Nantuko Husk",3,57712,Common,ORI,109/272,No
"Nantuko Husk",1,40676,Uncommon,CMD,90/318,No
"Nantuko Shaman",4,25529,Common,TSP,208/301,No
"Narcolepsy",4,36580,Common,ROE,79/248,No
"Narnam Cobra",4,62057,Common,KLD,224/264,No
"Narnam Renegade",4,62779,Uncommon,AER,117/184,No
"Natural Affinity",4,22483,Rare,9ED,256/350,No
"Natural Obsolescence",4,62773,Common,AER,118/184,No
"Natural State",4,59569,Common,OGW,136/184,No
"Naturalize",3,53468,Common,M15,185/269,No
"Naturalize",1,27558,Common,10E,282/383,No
"Nature's Claim",4,35699,Common,WWK,108/145,No
